"AF Prime Lens List",,,,,,
,,,,,,
Mount,Brand,Range,"Focal Length",Aperture,Retail,Notes
FE,Sony,"28mm f/2",28mm,2,448,"adaptors: fisheye $298, 21mm $248"
FE,Sony,"50mm f/1.8",50mm,1.8,248,
FE,Sony,"50mm f/2.8",50mm,2.8,498,macro
FE,Sony,"85mm f/1.8",85mm,1.8,598,
FE,"Sony G","90mm f/2.8",90mm,2.8,1098,macro
FE,"Sony G Master","85mm f/1.4",85mm,1.4,1798,
FE,"Sony G Master","100mm f/2.8 STF",100mm,2.8,1498,
FE,"Sony G Master","400mm f/2.8",400mm,2.8,11998,"avail Sept 2018"
FE,"Sony Zeiss","35mm f/1.4",35mm,1.4,1598,
FE,"Sony Zeiss","35mm f/2.8",35mm,2.8,798,
FE,"Sony Zeiss","50mm f/1.4",50mm,1.4,1498,
FE,"Sony Zeiss","55mm f/1.8",55mm,1.8,998,
FE,"Zeiss Batis","18mm f/2.8",18mm,2.8,1499,
FE,"Zeiss Batis","25mm f/2",25mm,2,1299,
FE,"Zeiss Batis","85mm f/1.8",85mm,1.8,1199,
FE,"Zeiss Batis","135mm f/2.8",135mm,2.8,1999,
FE,Rokinon,"14mm f/2.8",14mm,2.8,849,
FE,Rokinon,"24mm f/2.8",24mm,2.8,399,
FE,Rokinon,"35mm f/1.4",35mm,1.4,799,
FE,Rokinon,"35mm f/2.8",35mm,2.8,399,
FE,Rokinon,"50mm f/1.4",50mm,1.4,699,
FE,Sigma,"14mm f/1.8",14mm,1.8,1599,TBD
FE,Sigma,"20mm f/1.4",20mm,1.4,899,TBD
FE,Sigma,"24mm f/1.4",24mm,1.4,849,TBD
FE,Sigma,"35mm f/1.4",35mm,1.4,899,TBD
FE,Sigma,"50mm f/1.4",50mm,1.4,949,TBD
FE,Sigma,"70mm f/2.8",70mm,2.8,1599,"TBD macro"
FE,Sigma,"85mm f/1.4",85mm,1.4,1199,TBD
FE,Sigma,"105mm f/1.4",105mm,1.4,1099,TBD
FE,Sigma,"135mm f/1.8",135mm,1.8,1399,TBD
FE,"Tokina Firin","20mm f/2",20mm,2,599,43221
E,Sony,"16mm f/2.8",16mm,2.8,248,
E,Sony,"20mm f/2.8",20mm,2.8,348,
E,Sony,"30mm f/3.5",30mm,3.5,278,macro
E,Sony,"35mm f/1.8",35mm,1.8,448,
E,Sony,"50mm f/1.8",50mm,1.8,298,
E,"Sony Zeiss","24mm f/1.8",24mm,1.8,1098,
E,"Zeiss Touit","12mm f/2.8",12mm,2.8,999,
E,"Zeiss Touit","32mm f/1.8",32mm,1.8,720,
E,"Zeiss Touit","50mm f/2.8",50mm,2.8,999,
E,Sigma,"16mm f/1.4",16mm,1.4,449,
E,Sigma,"19mm f/2.8",19mm,2.8,199,
E,Sigma,"30mm f/1.4",30mm,1.4,339,
E,Sigma,"30mm f/2.8",30mm,2.8,199,
E,Sigma,"60mm f/2.8",60mm,2.8,239,
